,LOAN_ID,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,ORIG_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST,F180_UPB_dum,F120_UPB_dum,F90_UPB_dum,F60_UPB_dum,F30_UPB_dum,time_arrears_tot,time_default,good_bad
221,145000000000.0,5.25,120000,360,70,70,2.0,63.0,695.0,N,C,SF,1,P,PR,9,,773.0,N,None,01/11/2006,5.25,109494.77,41980,,,,,,,,,,0,01/07/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,695.0,171428.57,01/07/2012,P,,,,,,,0,0,0,0,0,0,0,1
1189,145000000000.0,5.625,77000,120,41,41,1.0,42.0,722.0,N,C,CO,1,P,MD,210,,,N,None,01/10/2006,5.625,50884.03,12580,,,,,,,,,,0,01/01/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,722.0,187804.88,01/01/2010,P,,,,,,,0,0,0,0,0,0,0,1
1190,145000000000.0,5.625,80000,360,54,54,2.0,34.0,781.0,N,R,SF,1,P,PR,6,,779.0,N,None,01/10/2006,5.625,74202.42,41980,,,,,,,,,,0,01/11/2011,,,,,,,,,,,,0,,,,,0.0,0,0,,,779.0,148148.15,01/11/2011,P,,,,,,,0,0,0,0,0,0,0,1
1594,145000000000.0,5.75,98000,240,73,73,2.0,32.0,746.0,N,C,SF,1,P,TN,376,,752.0,N,None,01/05/2003,5.75,72137.24,27740,,,,,,,,,,0,01/05/2011,,,,,,,,,,,,0,,,,,0.0,0,0,,,746.0,134246.58,01/05/2011,P,,,,,,,0,0,0,0,0,0,0,1
2581,145000000000.0,5.875,60000,180,12,12,2.0,24.0,786.0,N,P,SF,1,P,NY,117,,652.0,N,None,01/11/2006,5.875,857.85,35620,,,,,,,,,,0,01/05/2020,,,,,,,,,,,,0,,,,,0.0,0,0,,,652.0,500000.0,01/05/2020,P,,,,,,,0,0,0,0,0,0,0,1
4684,145000000000.0,6.0,183000,360,71,71,2.0,16.0,789.0,N,P,SF,1,P,NE,688,,774.0,N,None,01/10/2006,6.0,180120.34,0,,,,,,,,,,0,01/03/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,774.0,257746.48,01/03/2008,P,,,,,,,0,0,0,0,0,0,0,1
7610,145000000000.0,6.125,75000,360,45,45,2.0,26.0,733.0,N,P,SF,1,P,TN,385,,,N,None,01/11/2006,6.125,73061.45,0,,,,,,,,,,0,01/02/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,733.0,166666.67,01/02/2009,P,,,,,,,0,0,0,0,0,0,0,1
7611,145000000000.0,6.125,72000,360,44,44,1.0,42.0,768.0,N,P,PU,1,P,SC,290,,,N,None,01/10/2006,6.125,70218.09,17900,,,,,,,,,,0,01/12/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,768.0,163636.36,01/12/2008,P,,,,,,,0,0,0,0,0,0,0,1
7612,145000000000.0,6.125,140000,360,78,78,2.0,30.0,763.0,N,C,SF,1,P,MN,559,,757.0,N,None,01/11/2006,6.125,136369.49,0,,,,,,,,,,0,01/01/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,757.0,179487.18,01/01/2009,P,,,,,,,0,0,0,0,0,0,0,1
7613,145000000000.0,6.125,110000,240,80,80,2.0,46.0,702.0,N,C,SF,1,P,PA,196,,702.0,N,None,01/11/2006,6.125,104575.61,39740,,,,,,,,,,0,01/08/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,702.0,137500.0,01/08/2008,P,,,,,,,0,0,0,0,0,0,0,1
